arrival,avoidance,oht_count,seed,throughput_per_min,utilization,cycle_avg,cycle_p95,empty_ratio,max_deadlocked,jobs_done
5,0,4,8,0,1,20.575,19.4,0.59244,2,2
5,0,6,1,0,1,13.35,17.55,0.432802,4,4
5,0,6,2,0.533333,1,47.3074,82.4506,0.54345,2,7
5,0,6,3,0,1,26.4817,47.8495,0.521627,4,11
5,0,6,4,0.533333,1,47.9916,86.3009,0.511869,2,12
5,0,6,5,0.266667,1,32.257,61.6993,0.523168,2,7
5,0,6,6,0.266667,1,32.3999,57.1494,0.56572,4,11
5,0,6,7,0,1,38.0887,65.7996,0.551846,4,9
5,0,6,8,1.33333,1,66.7301,136.954,0.496117,2,12
5,0,8,1,0,1,19.9333,19.6,0.457803,4,6
5,0,8,2,0,1,22.8249,35.9997,0.426252,4,6
5,0,8,3,0,1,16.2785,16.75,0.544354,4,7
5,0,8,4,0.266667,1,36.9943,53.6494,0.508728,4,9
5,0,8,5,0,1,12.7375,14.4,0.525704,4,4
5,0,8,6,0,1,15.4,19.6,0.515724,6,7
5,0,8,7,0,1,23.2749,20.45,0.400824,4,2
5,0,8,8,0,1,14.25,16.5,0.446118,4,5
5,0,10,1,0,1,14.45,14.75,0.428899,6,4
5,0,10,2,0,1,15.125,10.1,0.48729,4,2
5,0,10,3,0,1,21.5226,38.1997,0.589689,4,11
5,0,10,4,0,1,15.4071,19.3,0.567599,6,7
5,0,10,5,0,1,23.532,40.6996,0.523504,4,14
5,0,10,6,0,1,15.675,19.3,0.404797,4,10
5,0,10,7,0.266667,1,53.8249,70.7999,0.353436,2,4
5,0,10,8,0,1,21.6428,27.4998,0.48319,4,7
5,0,12,1,0,1,19.2249,19.3,0.410514,6,4
5,0,12,2,0,1,16.0333,17.85,0.491181,8,3
5,0,12,3,0,1,13.6916,18.5,0.492695,4,6
5,0,12,4,0,1,12.6,12.4,0.440087,6,5
5,0,12,5,0,1,20.0691,38.0496,0.5402,6,13
5,0,12,6,0,1,13.05,18.15,0.419109,4,6
5,0,12,7,0,1,0,0,0.285711,4,0
5,0,12,8,0,1,19.1333,14.75,0.431917,4,3
5,0,14,1,0,1,13.15,11.8,0.423944,6,3
5,0,14,2,0,1,13.975,10.1,0.475075,8,2
5,0,14,3,0,1,7.90002,5.95001,0.422029,8,3
5,0,14,4,0,1,11.5125,11.35,0.4782,6,4
5,0,14,5,0,1,17.6624,24.0499,0.498232,6,8
5,0,14,6,0,1,10.8834,9.35002,0.444418,5,3
5,0,14,7,0,1,17.2,16,0.324016,4,3
5,0,14,8,0,1,18.1625,21.3999,0.494059,4,4
5,0,16,1,0,1,20.1,19.3,0.384885,8,4
5,0,16,2,0,1,10.1,10.1,0.411991,10,1
5,0,16,3,0,1,14.54,22.6999,0.505407,6,5
5,0,16,4,0,1,11.15,11.15,0.361528,10,1
5,0,16,5,0,1,9.51668,7.95002,0.418962,10,3
5,0,16,6,0,1,15.28,18.15,0.534507,5,5
5,0,16,7,0,1,11.15,6.30002,0.401574,4,2
5,0,16,8,0,1,17.4333,19.1,0.460402,4,3
5,0,18,1,0,1,17.75,17.75,0.32282,8,1
5,0,18,2,0,1,24.8749,27.8499,0.414442,8,4
5,0,18,3,0,1,9.78333,5.95001,0.432006,12,3
5,0,18,4,0,1,10.1,10.1,0.370524,10,1
5,0,18,5,0,1,11.71,17.7,0.394183,6,5
5,0,18,6,0,1,10.8,10.8,0.417698,6,1
5,0,18,7,0,1,10.3,12.4,0.375341,4,3
5,0,18,8,0,1,19.1,19.1,0.489466,6,1
5,0,20,1,0,1,17.75,17.75,0.315906,8,1
5,0,20,2,0,1,13.1875,15.7,0.440154,12,4
5,0,20,3,0,1,4.675,4,0.402054,14,2
5,0,20,4,0,1,10.1,10.1,0.419479,8,1
5,0,20,5,0,1,22.3249,44.2495,0.403449,8,10
5,0,20,6,0,1,9.05002,9.05002,0.412053,8,1
5,0,20,7,0,1,15.3999,14.5,0.411322,6,3
5,0,20,8,0,1,17.7833,19.1,0.413441,12,3
5,0,24,1,0,1,27.6748,24.9999,0.346858,8,2
5,0,24,2,0,1,15.7,15.7,0.408908,14,1
5,0,24,3,0,1,4.675,4,0.384941,15,2
5,0,24,4,0,1,15.05,15.05,0.410951,8,1
5,0,24,5,0,1,10.4667,12.35,0.493832,10,6
5,0,24,6,0,1,9.05002,9.05002,0.482116,12,1
5,0,24,7,0,1,6.68336,4.00001,0.337535,8,3
5,0,24,8,0,1,12.475,13.65,0.397587,14,4
5,0,28,1,0,1,17.75,17.75,0.373104,12,1
5,0,28,2,0,1,16.75,15.7,0.471476,14,3
5,0,28,3,0,1,8.02501,5.35002,0.453794,13,4
5,0,28,4,0,1,0,0,0.382433,8,0
5,0,28,5,0,1,10.2667,12.35,0.436303,10,6
5,0,28,6,0,1,9.05002,9.05002,0.527107,14,1
5,0,28,7,0,1,3.82501,3.65001,0.377376,10,2
5,0,28,8,0,1,14.325,10.1,0.351451,21,2
5,0,32,1,0,1,15.625,13.5,0.451575,12,2
5,0,32,2,0,1,10.175,4.00002,0.468425,14,2
5,0,32,3,0,1,4.90001,5.35001,0.417153,18,3
5,0,32,4,0,1,0,0,0.432974,8,0
5,0,32,5,0,1,7.63335,7.95002,0.389684,12,3
5,0,32,6,0,1,0,0,0.426445,20,0
5,0,32,7,0,1,3.82501,3.65001,0.324178,14,2
5,0,32,8,0,1,11.7,11.7,0.370593,16,1
5,0,36,1,0,1,0,0,0.438844,14,0
5,0,36,2,0,1,10.175,4.00002,0.491033,14,2
5,0,36,3,0,1,4.90001,5.35001,0.39,16,3
5,0,36,4,0,1,0,0,0.38998,17,0
5,0,36,5,0,1,5.80001,3.65,0.411589,14,2
5,0,36,6,0,1,0,0,0.411571,20,0
5,0,36,7,0,1,4.17501,4.00001,0.303676,14,2
5,0,36,8,0,1,0,0,0.377972,18,0
5,0,40,1,0,1,0,0,0.417513,14,0
5,0,40,2,0,1,10.65,4.00002,0.47819,18,2
5,0,40,3,0,1,4.90001,5.35001,0.421858,14,3
5,0,40,4,0,1,0,0,0.414798,20,0
5,0,40,5,0,1,8.82501,11.3,0.369556,18,4
5,0,40,6,0,1,0,0,0.44505,20,0
5,0,40,7,0,1,4.17501,4.00001,0.33864,18,2
5,0,40,8,0,1,0,0,0.374629,18,0
0.2,1,2,1,5.6,1,90.0016,149.255,0.524366,0,27
0.2,1,2,2,2.66667,1,89.1338,180.611,0.453283,0,15
0.2,1,2,3,5.86667,1,88.9516,150.153,0.550671,0,27
0.2,1,2,4,5.06667,1,94.0703,164.906,0.527685,0,24
0.2,1,2,5,4.8,1,87.9935,147.509,0.507478,0,24
0.2,1,2,6,5.6,1,88.09,155.204,0.510088,0,26
0.2,1,2,7,2.66667,1,106.908,189.96,0.463556,0,14
0.2,1,2,8,2.4,1,94.0286,191.21,0.49107,0,14
0.2,1,4,1,8.26667,1,42.1614,84.4965,0.480208,0,40
0.2,1,4,2,7.73333,1,47.0387,75.4017,0.499322,0,38
0.2,1,4,3,10.1333,1,32.254,47.6029,0.510505,0,49
0.2,1,4,4,8.8,1,47.2053,75.6046,0.513957,0,42
0.2,1,4,5,9.33333,1,45.4888,69.7501,0.507061,0,44
0.2,1,4,6,8.26667,1,43.8603,77.8011,0.50221,0,40
0.2,1,4,7,8.26667,1,53.5536,81.7002,0.490935,0,37
0.2,1,4,8,7.73333,1,51.9607,87.5518,0.455362,0,39
0.2,1,6,1,10.6667,1,27.2512,46.0028,0.47221,0,49
0.2,1,6,2,10.9333,1,20.6719,31.4519,0.456581,0,51
0.2,1,6,3,9.6,1,20.9755,34.5021,0.448746,0,48
0.2,1,6,4,10.9333,0.833333,27.01,43.4973,0.47232,0,51
0.2,1,6,5,11.2,1,21.2297,29.4018,0.445571,0,53
0.2,1,6,6,9.6,1,27.2939,48.8506,0.463827,0,47
0.2,1,6,7,12.2667,1,25.3845,40.9525,0.50314,0,53
0.2,1,6,8,12.5333,0.833333,27.8762,38.0012,0.469581,0,54
0.2,1,8,1,10.9333,1,20.3736,32.352,0.458975,0,51
0.2,1,8,2,11.2,0.75,18.164,30.6505,0.394658,0,53
0.2,1,8,3,10.4,1,18.6449,29.5928,0.43364,0,50
0.2,1,8,4,11.2,0.875,20.4062,29.3518,0.426128,0,52
0.2,1,8,5,11.2,0.75,19.4984,30.4019,0.370639,0,53
0.2,1,8,6,11.4667,0.75,22.2221,33.9012,0.427824,0,53
0.2,1,8,7,10.6667,1,22.29,31.3516,0.446896,0,51
0.2,1,8,8,10.9333,1,22.2752,34.5021,0.438753,0,50
0.2,1,10,1,10.4,1,18.0684,29.0929,0.417973,0,49
0.2,1,10,2,10.9333,0.7,17.0327,26.7983,0.3674,0,52
0.2,1,10,3,10.6667,0.8,17.2988,27.9432,0.424312,0,51
0.2,1,10,4,10.4,0.9,20.8924,30.1018,0.431459,0,50
0.2,1,10,5,10.1333,0.9,18.2214,27.5517,0.344932,0,50
0.2,1,10,6,10.9333,0.8,20.7717,31.1473,0.413688,0,51
0.2,1,10,7,10.6667,0.9,19.1082,28.7448,0.398912,0,50
0.2,1,10,8,11.2,0.8,19.5866,29.4518,0.378176,0,51
0.2,1,12,1,10.1333,0.916667,15.7261,26.7016,0.335979,0,48
0.2,1,12,2,10.4,0.75,16.795,24.8015,0.352158,0,50
0.2,1,12,3,10.1333,0.833333,17.1896,29.6507,0.397447,0,49
0.2,1,12,4,9.86667,0.916667,19.5117,27.7466,0.39545,0,48
0.2,1,12,5,10.1333,0.75,17.0653,27.1516,0.308483,0,50
0.2,1,12,6,10.1333,0.916667,18.7741,28.5933,0.378184,0,48
0.2,1,12,7,10.1333,0.833333,18.7909,27.9432,0.377165,0,49
0.2,1,12,8,10.9333,0.833333,18.7258,27.4017,0.367939,0,49
0.2,1,14,1,10.1333,0.785714,15.1229,24.3459,0.313322,0,48
0.2,1,14,2,10.4,0.642857,16.417,24.7997,0.31954,0,50
0.2,1,14,3,10.6667,0.571429,16.6075,27.7481,0.367312,0,51
0.2,1,14,4,9.33333,0.928571,18.6719,27.7451,0.379789,0,46
0.2,1,14,5,10.1333,0.642857,16.1553,25.8516,0.281678,0,50
0.2,1,14,6,9.86667,0.857143,18.5065,28.3517,0.371884,0,47
0.2,1,14,7,10.1333,0.714286,17.8859,27.3517,0.343887,0,49
0.2,1,14,8,10.6667,0.785714,17.6253,26.7014,0.319483,0,48
0.2,1,16,1,9.86667,0.75,14.3702,22.2514,0.287256,0,47
0.2,1,16,2,10.4,0.5625,16.124,24.7997,0.303624,0,50
0.2,1,16,3,10.1333,0.625,14.9131,25.644,0.3243,0,49
0.2,1,16,4,9.33333,0.8125,18.2228,26.6968,0.361147,0,46
0.2,1,16,5,9.6,0.6875,16.5075,24.3515,0.270699,0,48
0.2,1,16,6,9.86667,0.75,17.7896,28.3517,0.345639,0,47
0.2,1,16,7,10.1333,0.625,17.7613,26.4435,0.326819,0,49
0.2,1,16,8,10.6667,0.6875,17.0566,25.4516,0.289351,0,48
0.2,1,18,1,9.6,0.722222,14.2641,22.2514,0.272311,0,46
0.2,1,18,2,9.86667,0.611111,16.1625,23.6514,0.287694,0,48
0.2,1,18,3,10.4,0.5,14.6267,24.3515,0.290022,0,50
0.2,1,18,4,9.33333,0.722222,17.6282,26.6968,0.342775,0,46
0.2,1,18,5,9.33333,0.666667,15.6385,23.8942,0.24382,0,47
0.2,1,18,6,9.86667,0.666667,16.6172,23.3014,0.312627,0,47
0.2,1,18,7,9.86667,0.611111,16.2981,23.7511,0.271358,0,48
0.2,1,18,8,10.9333,0.555556,16.4033,24.3515,0.26957,0,49
0.2,1,20,1,9.6,0.65,14.0662,22.2514,0.26215,0,46
0.2,1,20,2,9.6,0.55,15.6645,23.2943,0.273746,0,48
0.2,1,20,3,10.1333,0.5,13.6866,21.9495,0.251408,0,49
0.2,1,20,4,8.53333,0.8,16.406,23.6506,0.320367,0,43
0.2,1,20,5,9.06667,0.65,14.9112,22.7014,0.219465,0,46
0.2,1,20,6,9.6,0.65,15.8762,22.3014,0.287993,0,46
0.2,1,20,7,9.6,0.6,16.1575,23.4997,0.295811,0,47
0.2,1,20,8,11.2,0.45,15.9001,22.8503,0.236352,0,50
0.2,1,24,1,9.6,0.541667,13.4281,19.6512,0.217662,0,46
0.2,1,24,2,9.86667,0.416667,15.0122,22.4997,0.24757,0,49
0.2,1,24,3,9.86667,0.458333,13.1592,19.3012,0.220718,0,48
0.2,1,24,4,8.8,0.625,15.5215,22.6014,0.248577,0,44
0.2,1,24,5,9.33333,0.5,15.097,22.7014,0.210072,0,47
0.2,1,24,6,9.86667,0.5,14.8427,20.3512,0.223085,0,47
0.2,1,24,7,9.06667,0.583333,15.2635,21.7947,0.238494,0,45
0.2,1,24,8,11.2,0.375,15.3241,22.251,0.213622,0,50
0.2,1,28,1,9.33333,0.5,13.0277,19.647,0.193197,0,45
0.2,1,28,2,9.86667,0.357143,15.1611,22.4997,0.237332,0,49
0.2,1,28,3,9.86667,0.392857,12.8916,19.1953,0.203194,0,48
0.2,1,28,4,8.8,0.535714,15.4647,22.5014,0.237434,0,44
0.2,1,28,5,9.33333,0.428571,14.1725,21.2013,0.178539,0,47
0.2,1,28,6,9.86667,0.428571,14.6459,20.5453,0.208543,0,47
0.2,1,28,7,9.06667,0.5,14.919,21.7947,0.222832,0,45
0.2,1,28,8,10.9333,0.357143,15.1931,22.201,0.199219,0,49
0.2,1,32,1,9.33333,0.4375,12.9188,19.647,0.186502,0,45
0.2,1,32,2,10.1333,0.28125,14.0659,20.9513,0.199566,0,50
0.2,1,32,3,9.6,0.375,12.7234,18.5997,0.177106,0,47
0.2,1,32,4,9.06667,0.4375,14.7133,21.0013,0.194621,0,45
0.2,1,32,5,9.33333,0.375,14.0225,21.2013,0.172921,0,47
0.2,1,32,6,9.86667,0.375,14.0683,20.3512,0.168952,0,47
0.2,1,32,7,9.06667,0.4375,14.1868,21.3998,0.182988,0,45
0.2,1,32,8,10.6667,0.34375,14.7398,20.9002,0.186548,0,48
0.2,1,36,1,9.33333,0.388889,12.8166,19.647,0.180003,0,45
0.2,1,36,2,10.1333,0.25,14.0069,20.9513,0.194036,0,50
0.2,1,36,3,9.6,0.333333,12.5745,18.2511,0.170477,0,47
0.2,1,36,4,9.06667,0.388889,14.2545,18.6011,0.173807,0,45
0.2,1,36,5,9.33333,0.333333,14.0108,21.2013,0.170989,0,47
0.2,1,36,6,9.86667,0.333333,14.0534,20.3512,0.159062,0,47
0.2,1,36,7,9.06667,0.388889,14.1357,21.3998,0.176248,0,45
0.2,1,36,8,10.6667,0.305556,14.6169,20.9002,0.180534,0,48
0.2,1,40,1,9.06667,0.375,12.5989,19.3012,0.17187,0,44
0.2,1,40,2,10.1333,0.225,13.9609,20.9513,0.191346,0,50
0.2,1,40,3,9.6,0.3,12.5245,18.2511,0.167122,0,47
0.2,1,40,4,9.06667,0.35,14.2556,18.6011,0.173807,0,45
0.2,1,40,5,9.33333,0.3,13.8587,20.1512,0.16224,0,47
0.2,1,40,6,9.86667,0.3,14.0523,20.3512,0.159062,0,47
0.2,1,40,7,9.06667,0.35,14.0591,21.3998,0.173239,0,45
0.2,1,40,8,10.6667,0.275,14.5304,20.2509,0.177815,0,48
